@relation emotion_test

@attribute emotionclass {happy,sad,fear}
@attribute text String


@data
happy,'I feel a sense of joy whenever I complete a piece of writing which is part of my work.  Intense reading also brings me joy.  I also feel happy when I reminiscent about them.'
happy,'After completing high-school, I wanted to go abroad for a holiday.  I had never been abroad before and neither had I taken a holiday for a long time.  When finally my parents agreed and we got the airplane tickets I was over joyed.'
happy,'I can not recall one.'
happy,'Having passed an exam.'
happy,'When I was selected to come here.'
happy,'I met a friend I had not seen for a long time on the street.'
happy,'When I got the scholarship I was very happy as the finacial burden of the family was reduced.'
happy,'When I was complimented and called delightful.'
happy,'A chat on the telephone with a friend.'
happy,'On my 18th birthday I passed the driving-test. I was glad because I had had to study very much, because I had been lucky and because - as a proof that it was really difficult - not everybody had passed the test.'
happy,'When I was told that I had passed the exams.'
happy,'When I heard my name being announced on the radio that I had been successful in an interview for admittance for a medical Assistant training course. I was really happy and I enjoyed myself by dancing to music from the Radio cassette.'
happy,'When I found out that a set task (i.e. 2 essays and a test), the thought of which had oppressed me, were not on the date I had thought.'
happy,'I went to fetch my girl-friend at the station. When the train arrived and I saw her descending and running up to me, I felt glad.'
happy,'This happened when it was finally confirmed that I had stood first in the university for the M.A exams.  A few days before the official results were declared a clerk had brought the results unofficially.  So I had been expecting the results but the confirmation allowed me to legitimately feel happy at my success.'
happy,'I received a letter from a distant friend.'
happy,'My sister had a daughter. I saw the baby for the first time through a pane of glass and she looked at me.'
happy,'Some time ago I was present at the wedding party of two close friends of mine.'
happy,'When I got a letter offering me the Summer job that I had applied for.'
happy,'During inter-rail-trip, after troubles, I met my little sister.'
happy,'During lectures, I sensed an unexpressed understanding with a boy I did not know.  We exchange glances ; I think he likes me, and I ike him too.  Perhaps he has fallen in love with me .........'
happy,'I had a singing-lesson, but I was not very good. The last exercise was singing scales. I did that very well and my teacher seemed satisfied.'
happy,'I went to see the entrance examination results at university.  I rejoyced at my success.'
happy,'My friend came to see me after she had stayed abroad. I waited at the station.'
happy,'The day I got to know that I would get a shared dwelling with my boyfriend.  My parents place was getting a little crowded with my growing bother wanting a room to himself.  I first felt doubt, hen joy, but also sadness.  The feeling of joy was the strongest.'
happy,'When I was selected at TISS X.'
happy,'I felt joy most strongly some years ago, when I took part in a NH Competition and I was the first.'
happy,'I thought that I had failed an examination, but when I was informed about the mark, I saw that I had passed it.'
happy,'Some time ago a close relative of mine got off cheap with the worst.'
happy,'Scoring a goal in football match.'
happy,'I noticed that Meryl Streep and I had similar cheekbones and jaw structure.'
happy,'I wrote a difficult Exam at one time while in my Secodary School. When the results were announced on the radio, I came second out of 80 students hence I felt joy.'
happy,'On days when I feel close to my partner and other friends.  When I feel at peace with myself and also experience a close contact with people whom I regard greatly.'
happy,'When I passed the grade 7 exam.'
happy,'One of my friends and I had breakfast in a restaurant. It was spontaneous and lots of fun.'
happy,'When I had an anticipatory honey-moon with my fiancTe.'
happy,'When my nephew was born. The birth was hard, it was a big baby.'
happy,'I found myself a place after looking for one for a long time.'
happy,'Scoared a goal in a football match.'
happy,'When I was in a situation which seemed hopeless for me, I moved back to my parents. For my father it went without saying anything (normally he ofter grumbles at me).'
happy,'When, for example, I was in my eleventh school year and I learned I had been classed for the Bulgarian Language and Literature National Olympiad.'
