@relation emotion_test

@attribute emotionclass {happy,sad,fear}
@attribute text String


@data
happy,'I experienced this feeling when I was accepted as a student. Because everything turned out different from my expectations. Although I passed the exam successfully I was accepted as a student only when I did not expect it at all, namely at the beginning of September.'
happy,'My boy-friend told me that he would take me to the training of the life-saving dogs.'
happy,'I experienced joy when I got the results - I had made it to the second year.'
happy,'When I passed my MSCE Exams and was selected to go to college.'
happy,'Unexpectedly I met some persons who I like very much. Spontaneously they invited me and integrated me within their  group, although it was late in the evening.'
happy,'I met again a very good friend whom I had not seen for a long time.'
happy,'Spontaneous picnic with sister and friend and children - great.'
happy,'When I have achieved what I wanted to achieve, I feel the above stated emotion. Also when I am sucessful.'
happy,'That was what I felt when I was finally accepted in the Bulgarian Conservatorie after I had applied a couple of years.'
happy,'When I learnt that I was selected for form I.'
happy,'Meeting an old friend from high school.'
happy,'I sensed this feeling when I passed successfully the second tour of a competition.'
happy,'When a student of mine (at music) performed and played remarkably well.'
happy,'Joining in a research group studying consumer s behaviour and  helping the people in the shop with the sales.'
happy,'When I succeeded in achieving a scholarship for which I had strived hard during a period of financial, personal and physical stress.
happy,'The day I got married was the happiest day of my life.  Both of us felt that we were right for each other in every way and we had no doubts about our compatibility right from the day we got engaged.'
happy,'When I was admitted to a Language school. On the day when I was informed by a message and my parents congratulated me.'
happy,'I had not studied very much for my final examination at school, so I had to take an additional examination in French. The oral examination was not very hard for me - the more I was glad when I  heard that I had passed it. After each successfully passed exam I am happy.'
happy,'I was filled with joy when I heard that I had been selected for a University course.'
happy,'The more than satisfactory result of a recently-completed university subject was communicated to me by phone.'
happy,'When I heard what mark I had got at the entrance examination and I realized my admittance to the University was almost certain.'
happy,'I felt joy when I heard over the radio that I had been successful in my Primary School Leaving Certificate Examination and was selected for Secondary School.'
happy,'During my first week in Graz I met a girl who I had got to know in the train from Amsterdam to Graz. Although I had considered her very sympathetic, we had seperated without changing our adresses.'
happy,'At a success of mine, at a real achievement.'
happy,'When the results of the part I exams came out I felt tremendous joy in my heart.  The results came out after a long period of worry and anxiety, so it gave me endless relief and joy.'
happy,'I was seriously injured in a road accident. The very first steps I took with only one crutch to support me I felt so good. I enjoy being alive.'
happy,'When we got a young dog.'
happy,'When my daughter gave her solo dance performance in Poona and there was a big applause, I was overjoyed.'
happy,'I felt joy when I heard my name being called on the radio as one of the students who had passed the interview of Nursing and was selected to start Nursing.'
happy,'After I had been away for a long time a friend told me that I had passed all my written examinations.'
happy,'When I got a letter from home.'
happy,'Last year I went to see friends in Yugoslavia - two girls with whom I get along very well.'
happy,'When I heard that I had passed Primary School Leaving Certificate and was selected to go for Secondary education.'
happy,'An encounter with a man whom I love, after a very long separation.'
happy,'After having at last finished my masters thesis, I felt great joy and relief.  I had been haunted by the thesis during the whole of my studies.'
happy,'On my birthday, when a very close friend sent me a huge bouquet of flowers.'
happy,'I met a certain lady at Mchesi and I proposed a word of love to her and at the same time she accepted my proposal.'
happy,'I got a letter from my best friend, whom I had not heard from for a long time (a good letter).'
happy,'When the church choir came one Sunday after being away for some weeks.'
happy,'China winning the Asian Olympic.'
happy,'When I met my boyfriend and we discovered that we shared the same ideals and goals in life, and that we could share all our feelings and thoughts and felt that the world s not so bad when you have someone really close to share your life with.'
happy,'After the term exams I happened to meet a person that I respect and of whom I think very highly. It was nice that although we see each other rarely he had not forgotten me.'
happy,'When I heard that a good friend, who had been abroad for a long time, would come and see me.'
happy,'My boyfriend made me a proposal.'
happy,'Getting a phone call from a very old friend.'
happy,'When I met a good friend of mine after a long time.'
happy,'For the first time in my life telling someone I loved them.'
happy,'When I fell in love with ""X"".  Overnight I felt confidence, self-esteem, responsible and worthwhile.'
happy,'When I passed the driving test after three failures.'
happy,'When we took out an 84 year old woman for the evening and had hamburgers. She described the evening out as her happiest night out in 20 years.'
happy,'This happened when I went to check my first year results, I had  thought that I would fail and I found that I had a clear pass in all my courses.'
happy,'I had a quarrel with my fiancT. When he admitted his fault, everything was allright. It was then for the first time that he surprised me with coffee and cake and a bunch of flowers.'
happy,'When I had a psychical crisis, I met a girl, who told me that she had had almost the same problems and how she had finally overcome them.'
happy,'My class winning against another class in a football match.'
happy,'When I made up with a girl-friend of mine after having been on unfriendly terms with her (my fault).  I cried with joy that evening.'
happy,'I was in a dancing-tavern and the atmosphere was one of waiting for the end of the world.  Suddenly people began dancing wildly, inspired by the band.  An unbelievable experience : wonderful that even Finns sometimes flare up and forget to think what others are thinking of me.  It was delightful to dance to one heart content.'
happy,'I met my girlfriend on the way and she joyfully welcomed me on the way home.'
happy,'One night, my boyfriend expressed his love for me in the canteen in the presence of my friends by giving me a present.'
happy,'I received a letter of acceptance from UNZA.'
happy,'When, after a long time of searching I got my first job.'
happy,'As the time to get the results drew near I became more and more anxious.  My friend called me and said,  You have passed.  My heart was full of joy.'
happy,'I felt joy when I red my name in the list of the approved in the entrance college examination.'
happy,'Saw on TV China winning the gold medals.'
happy,'Cant remember specific event - besides just being moderately happy until a year or so ago.'
happy,'To have a friend who I didn t see for months, and under the circumstances that I met him made me feel happy, and perhaps because it has been one of the good things that I learned with this friend.'
happy,'My son was registered to get admission in grade one of the primary school.  The chances of him getting a place there was 1/10. Two weeks later I was informed that he had been enrolled.'
happy,'Sitting alone in a quiet room concentrating on things happening around me which pleases me.'
happy,'The time I first saw my cousin who is living in Tanzania.'
happy,'When my mother was tremendous on the phone and we talked for hours. She was in a good mood.'
happy,'When planning to marry.'
happy,'When I passed my Primary school leaving certificate and selected to go to a Boarding secondary school.'
happy,'I felt joyful when I heard that I had been selected for College education.'
happy,'When I received my TE Score and my acceptance from University - it had been a goal since I left the bank a year earlier.'
happy,'When a person that I like very much got near to me.'
happy,'There was joy in me when I heard that I was to take a course as a Medical Assistant.'
happy,'When I got a wedding ring of diamond from the boy I loved.'
happy,'In Southern Tyrol, I was gathering apples, it was a fine day, I was not thinking about anything, I felt an overwhelming joy.'
happy,'When I entered University.'
