@relation emotion_test

@attribute emotionclass {happy,sad,fear}
@attribute text String


@data
happy,'When I bought my car.'
happy,'I felt happy at the end of a 10 day student camp.  We had shared our hopes and aspirations and in the open situation so generated, we had made strong frienships and experienced our own worth as well.'
happy,'When, after a long time, I saw a girl with whom I was in love.'
happy,'Winning a tight tennis match. One set to play, and the team was behind by 3 games. We won the last set 6-2 and won the match by a game.'
happy,'One of the greatest joiy was when I succeded in acquiring a motorcycle through my own efforts.'
happy,'I was given a gift by my sister. There were many pleasant things in this parcel.'
happy,'This emotion happened when I passed my primary school examination and was selected for Secondary School.'
happy,'My sister gave birth to twins, healthy ones.'
happy,'In August,1983, the long awaited ""big envelope"" (a document for C.U.H.K admission) arrived.  It was in the afternoon and I had not been doing anything.  When the postman, with his big bag, knocked on the door I knew what it was about.  I hurriedly opened the envelope and my mood at that time is hard to describe.  It lasted several hours and only calmed down later.'
happy,'I found a human ""treasure"" that I desired and got immediately. I didnt think about anything. When I touched him I imploded but I am whole.'
happy,'When India first won the world cup cricket tournament.'
happy,'On my birthday, an old friend of mine sent me a card. I had not met him for a year and I was very glad that he had thought of me.'
happy,'I had been away from home for a long time and when I came home I was delighted.  It was wonderful to see familiar, dear people and I was rejoycing in advance.  I had been feeling very lonely.'
happy,'When I was sick my husband bought me a piece of cake.'
happy,'The birth of my daughter.'
happy,'When I saw my family after a separation of one year.'
happy,'I got a present from a great friend (a dog).'
happy,'When India won the Prudential cup by beating West-Indies in the final match and became the world cricket champion.  West-Indies was the strongest of the eight countries which participated in the competition.'
happy,'My friend told me he really likes me.'
happy,'Passed an exam by 2 points.'
happy,'That was soon after the results of the interview which nearly 9,000 people attended in all the three regions of Malawi. My joy came after hearing on the radio that I was one of the people selected to undergo the Medical Assistant training at the L.S.H.S.'
happy,'On a sailing boat at night, under a full moon, listening to Pink Floyd, drinking good wine, with good company, the boat being steered by autopilot, and a full eclipse of the moon.'
happy,'When I made the acquaintance of a certain person.'
happy,'When I was appointed by the Ministry of health to join the teaching staff of one of the medical colleges.'
happy,'On New Years Eve I went in a disco with friends. I amused myself and got to know many other people.'
happy,'Inter-national sports events won by my favourite national team or player brings me joy, e.g when India won the World cup cricket match.'
happy,'My current lover and I had been very busy with work and study and had not had time alone together for almost a month until one afternoon recently when we made love for hours and then showered and ate together.'
happy,'When I was admitted to the Bulgarian State Conservatoire.'
happy,'When I received a beautiful birthday gift form my parents.'
happy,'A good report card (a scholarship) in primary school.'
happy,'I have a new born child.'
happy,'When I can see my parents because now I am far from them.'
happy,'I felt happy at the settlement of our marriage, even though we are from different socio-linguistic backgrounds our parents agreed to the wedding without any conflict or discussion.' 
happy,'We had thought that they would object to the wedding but it did not happen.'
happy,'Several days after my final examination at school, I was sitting in an airplane on my way to Greece. I enjoyed that moment very much.'
happy,'Always when I meet the person I love.'
happy,'When I was a student at the Institute doing my M.Phil degree, one of my professors called me before the convocation and told me ""You have got the gold-medal (first rank) in the university and tomorrow you will be on T.V"".'
happy,'It was when I was allowed to take my wife away from her parents after being refused for three times on grounds that she should first write her examination.'
happy,'Id just got the top mark in an exam.'
happy,'My parents came to visit me.'
happy,'When I entered in the University after a year of struggles.'
happy,'On my birthday I got a present that I had desired for a long time.'
happy,'I had stayed for months without seeing mother because our holidays were short and my home is far. Some times, mother came to see me at school, I was very joyful, and I didnt want her to go.'
happy,'When my boyfriend last told me he loved me after I gave him an impulsive kiss.'
happy,'I was in a restaurant with my boyfriend when I saw my best female friend after not seeing her for two weeks.  We rejoyced, hugged and had a long talk.'
happy,'When I thought that my high school love and I had a mutual emotion.'
happy,'A friend of mine travelled very far. I miss her but feel joy too because fer life is taking the right direction as she wants. So I feel joy for her mainly.'
happy,'When I met my mother after months of absence.'
happy,'This came in when at one time I met a girl who I didnt expect to fall in love with me. Fortunately I tried my luck and she accepted my proposal. At the same time she was giving me a lot of money which was just like a miracle to me.'
happy,'When I went to a job interview, I met a person who was very nice, and his attitude made me glad. The joy came when I first proposed a girl at Secondary School.'
happy,'My neighbour was not able to set his car in motion because it had snowed heavily. I helped him - he was thankful and invited me.'
happy,'I felt a great joy when I knew that my father was going to sell the apartment from GUARUSA, because in some way we were helded by it, that means that we didnt go to any other place, because we had the apartment.'
happy,'After having finished my B.Sc, I was struggling hard to continue my studies and had taken the M.SC exam.  I was not sure that I would be selected in the written exam.  When I saw my name in the selected candidates list I was overjoyed.'
happy,'When I succeed in writing something I felt and doing it I felt well and very happy for being able to express to myself something that was suffocating me.'
happy,'I got a good reaction from my tutor and tutorial group for a presentation Id given that I was very worried about.'
happy,'I wanted to go out to walk but I didnt know either where or with whom, suddenly an invitation appeared.'
happy,'I was filled with joy when I heard that I had been selected to come here at Kamuzu College of Nursing.'
happy,'After one year of searching, my friend and I have found a flat we are able to pay for.'
happy,'Arriving in New Zealand as a teenager - first overseas trip - something exhilarating about the change of scenery etc.'
happy,'Getting a good mark for a subject I had worked hard at but expected only a moderate mark.'
happy,'Article published in the college newspaper'
happy,'When I passed the 12th standard board exams'
happy,'After my final examination at school I was glad that the examination was over and that I had passed it.'
happy,'Eating biscuits and drinking Milo (Chocolate energy drink made with milk and usually drunk warm) with my friend at College. We get on really well, dont withold any feelings about each others friends and are pretty good at cheering each other up when we are homesick.'
happy,'When I discovered that I and my friend would be licensed at the first call. This emotion was accompanied by a great relief. It was the coronation of a year of sacrifice and extrene discipline.'
happy,'Found money on the road and returned it to the owner through police.'
happy,'When my uncle gave me my first years results.  I opened the envelope and my eyes ran into two ""B+"" - in EC110 and M160, this meant that I had qualified for a major in economics.'
happy,'I felt joy when I passed my Malawi School Certificate of Education.'
happy,'This happened when I was selected to go to Secondary school to start Form I in October 1980.'
happy,'When I saw a person I had not seen for a long time.'
happy,'It was when I was selected to go to a Secondary school to start form I.'
happy,'This was when the girl I was in love with accepted my proposal and everything went smoothly, just as I had wanted it to.  It was contrary to my previous feelings of uncertainty about her response.'
happy,'When I realized that I loved someone of the opposite sex.'
happy,'Accepted by the college football team.'
happy,'When I heard that a close relative of mine had given birth at a very young age, in a very remote area and had had very few problems. "When my father married a certain lady. The reception was held at Kasungu town Hall.'
happy,'Got through first semester University.'
happy,'When my father bought me a suit.'
happy,'In order to be admitted to my final examination, I had to pass two examinations. As I had not studied very much, I resigned myself to be left behind. Nevertheless I succeeded in these examinations.'
happy,'My girlfriend who had been very far away from me came to my place. She saw me and ran after me. I didnt know that she had come. I couldnt see her. She held my shoulders standing behind me.'
happy,'The time I learnt that I had passed my Malawi School leaving Certificate Examinations.'
happy,'I had a friend who I didnt see for a long time. We had a relationship from much union and interaction. It was more that one year that I didnt see her. She appeared in my home and we talked.'
happy,'I was doing an experiment and was not getting the appropriate result despite the fact that I had repeated the procedure 4-5 times.  Then finally I got it right by a stroke of luck.'
happy,'When I received the results from my final examination - Higher School Certificate - and received a mark that was beyond my wildest expectations.'
happy,'I won a car in a prize-competition. The moment I was informed about it, I felt joy.'
happy,'When I got a record as a gift from a friend.'
happy,'Day I received my T.E. score and acceptance into my chosen course.'
happy,'When I saw my name in the newspaper and I knew that I entered at the University.'
happy,'Going to a friends wedding and seeing many of my old friends whom I had known before I moved to a new district five years previously.'
happy,'I felt joy when I entered at the University.'
happy,'Got a present from my friend for my birthday.'
