@relation emotion_test

@attribute emotionclass {happy,sad,fear}
@attribute text String


@data
happy,'When my brother was selected to the University of Malawi (the Polythecnic). I was very excited and I rejoiced due to one of our family members qualifying for University level at long last.'
happy,'When I pass an examination which I did not think I did well.'
happy,'I was selected to come here (University, College) when I was least expecting it.'
happy,'I was in grade 7.  We had an inter-house volley-ball competition.  In Luapula I was the youngest member of the team and I scored  the winning goal using my head.  I jumped up with joy and fell down.'
happy,'When my brothers had passed all of their exams and were able to  graduate from their courses.'
happy,'Getting a part-time job.'
happy,'A boy I had been admiring so much asked me to go out with him.'
happy,'I most joyous moment was the day I got my marks.  I was very happy when I came to know about my marks at the M.Sc (part I) examination where I got 71.5%.  This was the happy, highest marks I have ever scored in my life.'
happy,'When I was told that I was selected to attend Medical Assistant Training.'
happy,'When I knew about my first job.'
happy,'When I opened my TE Score envelope, and saw I got into Physiotherapy.'
happy,'My boyfriend returned after a long absence.'
happy,'The way this particular girl spoke, behaved, and reacted the first time I was introduced to her, I felt certain that something between us would materialize.'
happy,'When my last years second semester results came through - I was ecstatic.'
happy,'I received money from my father at a time when I was completely broken.'
happy,'I made the college entrance examinations for P.U.C. It was what I wanted more. When the first list came out I got frustrated. I wasnt in. When the second list came out without hopes I started to read the newspaper and my name was thre. I was in the bus and felt like crying so that everybody could hear me. The cry was hold, and 1982 became forever a mask in my life.'
happy,'Good news about a sick relative.'
happy,'When I met my girlfriend - I had not counted on that.'
happy,'When Wayne and Sue (close friends) were announced our guardians at ther wedding.'
happy,'On holidays - just driving along a road beautiful scenery. Just with my boyfriend - not really talking but just feeling overwhelmed.'
happy,'When I was accepted for my third year (G-10) at my former secondary school.'
happy,'When I passed standard 8 exams I jumped, rolled over the ground.'
happy,'When my present boyfriend asked me initially to go out with him I had waited a long time for this to occur.'
happy,'I was emotionally happy when I was in love with the girl I had longed for.'
happy,'When I met a good friend after a long time. We had had a quarrel but after two weeks I was really glad to see him again.'
happy,'My father stayed abroad for one year. He does not like to write letters because he makes ortographic mistakes. I never had a good relation to him. He wrote me a letter in which happy, he said that he loved me.'
happy,'When I was in Form 4, at Secondary School, I was elected as a school Library Assistant and also the leader of Catholic Students, so I felt very joyous.'
happy,'When I saw my brother in Church, and publically accept Jesus Christ as his saviour and Lord.'
happy,'It was when a friend took me to a place and gave me as a gift my astrologycal map with the explanations of a psychologist.'
happy,'After sitting for the Standard 8 Exams for the second time in 1979, I had great joy when I heard that I was successful in the Examination when the results were out.'
happy,'In a day when at work, in school, and relationships came out as I wanted, and I was recognized in my work.'
happy,'After passing my Malawi Certificate of Education Exam and being selected to Kamuzu College of Nursing.'
happy,'The day I received the key of my apartment and we could enter in it, for my fiancT and I had bought it yet in plans, and it seemed to us that this was almost impossible to happen.'
happy,'At a choral concert I appeared as a solist. The concert5 was very good, I forgot all the hard work that had been done before. There remained only an undescribable joy and a feeling of warmth, security etc.'
happy,'It was in 1983 September when MCE results were being announced on the radio. When I heard my name that I had done well I just kept quiet. I was so happy that I couldnt even talk.'
happy,'When I got the first compound through column.'
happy,'When I had my children.'
happy,'When I heard that someone who is very close to me did very well in the exams despite having fooled around a lot.'
happy,'When I finished my exams after 12th Grade, I was worried about getting a T.E. Score high enough for Physiotherapy. When I found that I had been accepted I was ecstatic, or more appropriately, could jump for joy.'
happy,'I have a girlfriend, who is almost like a daughter to me.  She is studying out of station and I get to see her only once a year.  Her arrival is always a joyous one.'
happy,'I went shopping with my parents - my father payed everything for me, I was very glad.'
happy,'Winning Queensland Chess Championship.'
happy,'I have a boyfriend and I am very fond of him. When we had our ""11-months jubilee"", I had forgotten it. But he gave me a red rose.'
happy,'Two years ago, somebody I like very much wanted to give up his studies. I tried to make him understand the importance of what he was going to do, not only of the difficulty to find a job but also because he will decrease his culture etc. This person made the test to the college entrance examination and to our great joy we found out that he succeded in entering at the University.'
happy,'When I was selected to start Form I at Malosa Secondary school.'
happy,'This happened a year when I was having a hard time, I got admission to do research despite obstacles in the procedure of admission.'
happy,'After a weekend at a seminar I saw my husband again. I hurried home hoping he would be there. We embraced - I enjoyed feeling his body.'
happy,'My admittance to the University.'
happy,'I was joyful when I received a present (2 books and a pencil) from the headmaster in standard 6 because I had passed, I became No 1 and he said I was one of the pupils who had good behaviour.'
happy,'I had the unexpected possibility to see a friend I like very much.'
happy,'Passing an exam I did not expect to pass.'
happy,'Joy of giving birth, and of sharing that joy with my husband. Moments of complete happiness and feelings of so much love.'
happy,'When I was a child, my beloved cat gave birth to four beautiful little kittens. Before she had them, she came up to me and I followed her out, then witnessed them being born.'
happy,'When I passed the TOEFEL with very good marks.'
happy,'When I achieved my first 6 at University after a long string of 3, 4 and 5(7 is the highest mark awarded, 3 is a conceded pass).'
happy,'The weekend after I argued with my parents I went home again and they couldnt have been nicer. As soon as I walked in, Mum kissed me, then Dad, and thanked me for the birthday presents Id left for him, including a very sentimental birthday card.'
happy,'My first kiss.'
happy,'When I got admission in M.Sc (I) Organic Chemistry, I was very happy.'
happy,'When I heard that I had passed my MCE Exam, I spent the whole day dancing and eating sugarcanes from our garden.'
happy,'Seeing a close friend who had just returned from twelve months overseas.'
happy,'I was very joyful when I heard that I had passed the standard 8 exams. The day I heard the news was the day I celebrated my birthday.'
happy,'Receiving a very personal letter from a lady that I like, which revealed that she was more enthusiastic about me than I had thought possible.'
happy,'The moment I got the news that I had been selected for the U.G.C junior national research fellowship.  It was a dream come true.'
