@relation emotion_test

@attribute emotionclass {happy,sad,fear}
@attribute text String


@data
happy,'When my son was born.'
happy,'When I dived among sharks and the brightly coloured fish on the outer reef of Tvavni, Fidgi.'
happy,'The man I am going around with gave me a very special present.'
happy,'When my older sister told us that she was thinking of joining the rest of the family for the winter sports holiday.'
happy,'When my little sister was born.'
happy,'When I received the acceptance form for the second year at university.'
happy,'When I passed an exam.'
happy,'When after 10 months of national service I was ""downgraded"" and did not have to do the remaining 5 months.'
happy,'When I told my girlfriend a joke openly and frankly.'
happy,'I had not seen my brother for five years as he was not in Spain.   When he arrived at the airport, I felt great joy.'
happy,'My son passed grade 7 and was accepted for form I.'
happy,'My father had an operation which lasted for hours.  We were all very worried but it was successful.'
happy,'I got my driving licence after they had frightened me with its difficulty.'
happy,'I had gone camping with my old classmates and there was a storm.  We were in a flurry but at that time I felt the love and concern of my friends.'
happy,'When I saw that the mark I had obtained in an exam was a good one.'
happy,'I felt happy when I learnt that I had qualified for the grade eight.'
happy,'When I finished the work that I had planned to do - my homework.'
happy,'When I was acceptted as a student of psychology.'
happy,'When I learned, after the ecography, that my mother was expecting a baby girl.  That was what I wanted.'
happy,'When I was selected to this university despite my having studyied in difficulty throughout my secondary school days.'
happy,'An invitation to spend 5 days at the seaside with all expenses paid.'
happy,'When I was informed that I had been accepted as a student of Psychology.'
happy,'When I received the acceptance letter from UNZA.  I had just come home from work when my kind sister handed me an enveloppe  which I opened and was overcome with joy.'
happy,'When I passed the university entrance exam.'
happy,'Last night I had a chat with a fellow student.  I had known her for about half a year, and for the first time we were speaking ""the same language""- meaning an inspiring discussion and encounter.'
happy,'I received an unexpected letter from a friend I had met a short time before.  He sent me a poem and wished me good luck.  I felt very happy because I had great esteem for that person.'
happy,'When a study tour got confirmed, I was happy all the time till  the tour began.'
happy,'An ex-colleague asked me if I was interested in working in their accounts bureau.  They needed ""clever people"" and he had immediately thought of me.'
happy,'When I won a tennis match.'
happy,'When my brother gave me a watch.'
happy,'When I received my report card in C.O.U.  I was afraid of obtaining low marks, but they were much higher than expected.'
happy,'I felt happy when I received the letter telling me that I had been admitted to the university.'
happy,'When my one year old son gives me a spontaneous kiss.'
happy,'When I fell crazily in love with a beautiful girl and she returned my love.'
happy,'When my wife gave birth to a baby boy - my only son to date.'
happy,'When I came across an old friend whom I had not seen for a very long time.'
happy,'When I passed my driving test, as it was the fifth time that I had taken this test.'
happy,'One night, at a friends place I realized that I had everything I most wished, around me.'
